p":-1.07,"r":8.69},"acceleration":{"x":-1201,"y":932,"z":5457}}
0.2:{"time":39378,"ypr":{"y":142.68,"p":-1.03,"r":8.63},"acceleration":{"x":-1189,"y":971,"z":5353}}
0.2:{"time":42515,"ypr":{"y":166.13,"p":-1.51,"r":9.70},"acceleration":{"x":-973,"y":1317,"z":5272}}
0.2:{"time":42530,"ypr":{"y":166.19,"p":-1.50,"r":9.73},"acceleration":{"x":-946,"y":1337,"z":5307}}
0.2:{"time":42546,"ypr":{"y":166.24,"p":-1.46,"r":9.75},"acceleration":{"x":-921,"y":1340,"z":5305}}
0.2:{"time":42560,"ypr":{"y":166.29,"p":-1.43,"r":9.78},"acceleration":{"x":-924,"y":1327,"z":5253}}
0.2:{"time":42575,"ypr":{"y":166.34,"p":-1.40,"r":9.78},"acceleration":{"x":-943,"y":1318,"z":5199}}
0.2:{"time":42591,"ypr":{"y":166.38,"p":-1.39,"r":9.78},"acceleration":{"x":-965,"y":1311,"z":5170}}
0.2:{"time":42605,"ypr":{"y":166.43,"p":-1.39,"r":9.77},"acceleration":{"x":-975,"y":1319,"z":5161}}
0.2:{"time":42620,"ypr":{"y":166.49,"p":-1.41,"r":9.76},"acceleration":{"x":-982,"y":1327,"z":5148}}
0.2:{"time":42636,"ypr":{"y":166.54,"p":-1.42,"r":9.75},"acceleration":{"x":-1001,"y":1329,"z":5144}}
0.2:{"time":42650,"ypr":{"y":166.59,"p":-1.43,"r":9.76},"acceleration":{"x":-995,"y":1332,"z":5168}}
0.2:{"time":42665,"ypr":{"y":166.64,"p":-1.42,"r":9.77},"acceleration":{"x":-988,"y":1326,"z":5187}}
0.2:{"time":42681,"ypr":{"y":166.69,"p":-1.40,"r":9.79},"acceleration":{"x":-998,"y":1333,"z":5208}}
0.2:{"time":42695,"ypr":{"y":166.74,"p":-1.38,"r":9.80},"acceleration":{"x":-1007,"y":1339,"z":5230}}
0.2:{"time":42711,"ypr":{"y":166.78,"p":-1.36,"r":9.81},"acceleration":{"x":-1002,"y":1349,"z":5238}}
0.2:{"time":42726,"ypr":{"y":166.83,"p":-1.32,"r":9.81},"acceleration":{"x":-998,"y":1365,"z":5228}}
0.2:{"time":42740,"ypr":{"y":166.87,"p":-1.29,"r":9.82},"acceleration":{"x":-985,"y":1372,"z":5218}}
0.2:{"time":42756,"ypr":{"y":166.92,"p":-1.25,"r":9.83},"acceleration":{"x":-983,"y":1367,"z":5199}}
0.2:{"time":42770,"ypr":{"y":166.97,"p":-1.21,"r":9.85},"acceleration":{"x":-988,"y":1373,"z":5184}}
0.2:{"time":42785,"ypr":{"y":167.01,"p":-1.17,"r":9.87},"acceleration":{"x":-981,"y":1379,"z":5204}}
0.2:{"time":42801,"ypr":{"y":167.05,"p":-1.14,"r":9.88},"acceleration":{"x":-965,"y":1370,"z":5240}}
0.2:{"time":42815,"ypr":{"y":167.08,"p":-1.10,"r":9.90},"acceleration":{"x":-933,"y":1356,"z":5245}}
0.2:{"time":42830,"ypr":{"y":167.11,"p":-1.04,"r":9.90},"acceleration":{"x":-918,"y":1340,"z":5230}}
0.2:{"time":42846,"ypr":{"y":167.13,"p":-0.99,"r":9.89},"acceleration":{"x":-923,"y":1326,"z":5191}}
0.2:{"time":42860,"ypr":{"y":167.16,"p":-0.95,"r":9.88},"acceleration":{"x":-911,"y":1334,"z":5134}}
0.2:{"time":42875,"ypr":{"y":167.17,"p":-0.92,"r":9.86},"acceleration":{"x":-913,"y":1334,"z":5086}}
0.2:{"time":42891,"ypr":{"y":167.18,"p":-0.90,"r":9.84},"acceleration":{"x":-891,"y":1372,"z":5073}}
0.2:{"time":42905,"ypr":{"y":167.19,"p":-0.88,"r":9.85},"acceleration":{"x":-846,"y":1391,"z":5089}}
0.2:{"time":42920,"ypr":{"y":167.21,"p":-0.86,"r":9.86},"acceleration":{"x":-819,"y":1415,"z":5108}}
0.2:{"time":42936,"ypr":{"y":167.24,"p":-0.83,"r":9.87},"acceleration":{"x":-826,"y":1420,"z":5116}}
0.2:{"time":42950,"ypr":{"y":167.27,"p":-0.80,"r":9.88},"acceleration":{"x":-845,"y":1411,"z":5130}}
0.2:{"time":42966,"ypr":{"y":167.29,"p":-0.78,"r":9.89},"acceleration":{"x":-846,"y":1414,"z":5139}}
0.2:{"time":42981,"ypr":{"y":167.32,"p":-0.76,"r":9.89},"acceleration":{"x":-854,"y":1421,"z":5168}}
0.2:{"time":42995,"ypr":{"y":167.35,"p":-0.74,"r":9.90},"acceleration":{"x":-861,"y":1423,"z":5213}}
0.2:{"time":43011,"ypr":{"y":167.38,"p":-0.71,"r":9.91},"acceleration":{"x":-854,"y":1411,"z":5233}}
0.2:{"time":43026,"ypr":{"y":167.41,"p":-0.69,"r":9.92},"acceleration":{"x":-842,"y":1396,"z":5236}}
0.2:{"time":43040,"ypr":{"y":167.44,"p":-0.66,"r":9.93},"acceleration":{"x":-847,"y":1368,"z":5206}}
0.2:{"time":43056,"ypr":{"y":167.47,"p":-0.64,"r":9.92},"acceleration":{"x":-840,"y":1349,"z":5182}}
0.2:{"time":43071,"ypr":{"y":167.51,"p":-0.63,"r":9.90},"acceleration":{"x":-840,"y":1355,"z":5154}}
0.2:{"time":43085,"ypr":{"y":167.55,"p":-0.60,"r":9.88},"acceleration":{"x":-849,"y":1366,"z":5143}}
0.2:{"time":43101,"ypr":{"y":167.58,"p":-0.58,"r":9.87},"acceleration":{"x":-871,"y":1379,"z":5120}}
0.2:{"time":43116,"ypr":{"y":167.61,"p":-0.56,"r":9.87},"acceleration":{"x":-880,"y":1390,"z":5108}}
0.2:{"time":43130,"ypr":{"y":167.64,"p":-0.54,"r":9.87},"acceleration":{"x":-887,"y":1392,"z":5087}}
0.2:{"time":43146,"ypr":{"y":167.68,"p":-0.53,"r":9.87},"acceleration":{"x":-885,"y":1395,"z":5078}}
0.2:{"time":43160,"ypr":{"y":167.71,"p":-0.54,"r":9.88},"acceleration":{"x":-856,"y":1386,"z":5095}}
0.2:{"time":43175,"ypr":{"y":167.76,"p":-0.54,"r":9.89},"acceleration":{"x":-841,"y":1378,"z":5105}}
0.2:{"time":43191,"ypr":{"y":167.80,"p":-0.53,"r":9.89},"acceleration":{"x":-822,"y":1381,"z":5128}}
0.2:{"time":43205,"ypr":{"y":167.84,"p":-0.52,"r":9.89},"acceleration":{"x":-802,"y":1391,"z":5151}}
0.2:{"time":43220,"ypr":{"y":167.89,"p":-0.51,"r":9.89},"acceleration":{"x":-806,"y":1393,"z":5155}}
0.2:{"time":43236,"ypr":{"y":167.93,"p":-0.49,"r":9.89},"acceleration":{"x":-822,"y":1375,"z":5149}}
0.2:{"time":43250,"ypr":{"y":167.98,"p":-0.47,"r":9.90},"acceleration":{"x":-833,"y":1354,"z":5128}}
0.2:{"time":43266,"ypr":{"y":168.02,"p":-0.47,"r":9.89},"acceleration":{"x":-831,"y":1347,"z":5120}}
0.2:{"time":43281,"ypr":{"y":168.05,"p":-0.48,"r":9.88},"acceleration":{"x":-814,"y":1354,"z":5119}}
0.2:{"time":43295,"ypr":{"y":168.09,"p":-0.49,"r":9.88},"acceleration":{"x":-807,"y":1369,"z":5118}}
0.2:{"time":43311,"ypr":{"y":168.13,"p":-0.49,"r":9.89},"acceleration":{"x":-798,"y":1374,"z":5114}}
0.2:{"time":43326,"ypr":{"y":168.16,"p":-0.50,"r":9.90},"acceleration":{"x":-807,"y":1374,"z":5136}}
0.2:{"time":43340,"ypr":{"y":168.21,"p":-0.49,"r":9.91},"acceleration":{"x":-835,"y":1390,"z":5165}}
0.2:{"time":43356,"ypr":{"y":168.24,"p":-0.49,"r":9.92},"acceleration":{"x":-844,"y":1412,"z":5222}}
0.2:{"time":43371,"ypr":{"y":168.28,"p":-0.49,"r":9.94},"acceleration":{"x":-836,"y":1419,"z":5264}}
0.2:{"time":43385,"ypr":{"y":168.32,"p":-0.48,"r":9.94},"acceleration":{"x":-841,"y":1420,"z":5282}}
0.2:{"time":43401,"ypr":{"y":168.36,"p":-0.46,"r":9.94},"acceleration":{"x":-860,"y":1399,"z":5252}}
0.2:{"time":43416,"ypr":{"y":168.39,"p":-0.46,"r":9.93},"acceleration":{"x":-868,"y":1389,"z":5223}}
0.2:{"time":43430,"ypr":{"y":168.43,"p":-0.47,"r":9.92},"acceleration":{"x":-856,"y":1391,"z":5204}}
0.2:{"time":43446,"ypr":{"y":168.47,"p":-0.48,"r":9.92},"acceleration":{"x":-838,"y":1411,"z":5190}}
0.2:{"time":43461,"ypr":{"y":168.51,"p":-0.46,"r":9.93},"acceleration":{"x":-819,"y":1416,"z":5196}}
0.2:{"time":43475,"ypr":{"y":168.56,"p":-0.44,"r":9.96},"acceleration":{"x":-815,"y":1406,"z":5210}}
0.2:{"time":43491,"ypr":{"y":168.60,"p":-0.42,"r":9.98},"acceleration":{"x":-818,"y":1380,"z":5224}}
0.2:{"time":43506,"ypr":{"y":168.64,"p":-0.41,"r":9.99},"acceleration":{"x":-822,"y":1352,"z":5217}}
0.2:{"time":43521,"ypr":{"y":168.68,"p":-0.41,"r":9.98},"acceleration":{"x":-815,"y":1342,"z":5197}}
0.2:{"time":43536,"ypr":{"y":168.72,"p":-0.42,"r":9.96},"acceleration":{"x":-812,"y":1348,"z":5147}}
0.2:{"time":43551,"ypr":{"y":168.75,"p":-0.43,"r":9.94},"acceleration":{"x":-811,"y":1370,"z":5100}}
0.2:{"time":43566,"ypr":{"y":168.79,"p":-0.44,"r":9.94},"acceleration":{"x":-809,"y":1375,"z":5081}}
0.2:{"time":43581,"ypr":{"y":168.83,"p":-0.45,"r":9.95},"acceleration":{"x":-809,"y":1392,"z":5098}}
0.2:{"time":43596,"ypr":{"y":168.87,"p":-0.44,"r":9.97},"acceleration":{"x":-797,"y":1394,"z":5135}}
0.2:{"time":43611,"ypr":{"y":168.91,"p":-0.44,"r":9.98},"acceleration":{"x":-789,"y":1382,"z":5163}}
0.2:{"time":43626,"ypr":{"y":168.95,"p":-0.44,"r":9.98},"acceleration":{"x":-799,"y":1365,"z":5171}}
0.2:{"time":43640,"ypr":{"y":168.98,"p":-0.44,"r":9.96},"acceleration":{"x":-799,"y":1355,"z":5154}}
0.2:{"time":43656,"ypr":{"y":169.02,"p":-0.45,"r":9.94},"acceleration":{"x":-787,"y":1371,"z":5149}}
0.2:{"time":43671,"ypr":{"y":169.06,"p":-0.47,"r":9.94},"acceleration":{"x":-763,"y":1393,"z":5158}}
0.2:{"time":43685,"ypr":{"y":169.12,"p":-0.48,"r":9.94},"acceleration":{"x":-750,"y":1398,"z":5164}}
0.2:{"time":43701,"ypr":{"y":169.17,"p":-0.45,"r":9.96},"acceleration":{"x":-777,"y":1371,"z":5149}}
0.2:{"time":43716,"ypr":{"y":169.21,"p":-0.44,"r":9.97},"acceleration":{"x":-785,"y":1343,"z":5143}}
0.2:{"time":43730,"ypr":{"y":169.24,"p":-0.45,"r":9.98},"acceleration":{"x":-785,"y":1341,"z":5150}}
0.2:{"time":43746,"ypr":{"y":169.28,"p":-0.47,"r":9.96},"acceleration":{"x":-773,"y":1349,"z":5157}}
0.2:{"time":43761,"ypr":{"y":169.32,"p":-0.48,"r":9.96},"acceleration":{"x":-762,"y":1367,"z":5176}}
0.2:{"time":43776,"ypr":{"y":169.36,"p":-0.47,"r":9.98},"acceleration":{"x":-753,"y":1391,"z":5193}}
0.2:{"time":43791,"ypr":{"y":169.40,"p":-0.45,"r":10.00},"acceleration":{"x":-753,"y":1398,"z":5219}}
0.2:{"time":43806,"ypr":{"y":169.44,"p":-0.43,"r":10.01},"acceleration":{"x":-758,"y":1396,"z":5237}}
0.2:{"time":43821,"ypr":{"y":169.47,"p":-0.42,"r":10.02},"acceleration":{"x":-747,"y":1394,"z":5237}}
0.2:{"time":43836,"ypr":{"y":169.50,"p":-0.41,"r":10.02},"acceleration":{"x":-742,"y":1390,"z":5208}}
0.2:{"time":43851,"ypr":{"y":169.55,"p":-0.40,"r":10.00},"acceleration":{"x":-752,"y":1389,"z":5153}}
0.2:{"time":43866,"ypr":{"y":169.58,"p":-0.41,"r":9.99},"acceleration":{"x":-748,"y":1400,"z":5104}}
0.2:{"time":43881,"ypr":{"y":169.62,"p":-0.42,"r":9.98},"acceleration":{"x":-737,"y":1410,"z":5077}}
0.2:{"time":43896,"ypr":{"y":169.66,"p":-0.43,"r":9.98},"acceleration":{"x":-739,"y":1411,"z":5079}}
0.2:{"time":43911,"ypr":{"y":169.69,"p":-0.42,"r":10.00},"acceleration":{"x":-747,"y":1403,"z":5094}}
0.2:{"time":43926,"ypr":{"y":169.73,"p":-0.40,"r":10.03},"acceleration":{"x":-758,"y":1396,"z":5121}}
0.2:{"time":43941,"ypr":{"y":169.77,"p":-0.38,"r":10.05},"acceleration":{"x":-765,"y":1393,"z":5157}}
0.2:{"time":43956,"ypr":{"y":169.79,"p":-0.35,"r":10.07},"acceleration":{"x":-769,"y":1376,"z":5189}}
0.2:{"time":43971,"ypr":{"y":169.82,"p":-0.34,"r":10.08},"acceleration":{"x":-786,"y":1363,"z":5179}}
0.2:{"time":43986,"ypr":{"y":169.84,"p":-0.33,"r":10.08},"acceleration":{"x":-791,"y":1360,"z":5160}}
0.2:{"time":44001,"ypr":{"y":169.86,"p":-0.33,"r":10.08},"acceleration":{"x":-803,"y":1380,"z":5145}}
0.2:{"time":44016,"ypr":{"y":169.88,"p":-0.35,"r":10.06},"acceleration":{"x":-793,"y":1409,"z":5147}}
0.2:{"time":44030,"ypr":{"y":169.91,"p":-0.36,"r":10.04},"acceleration":{"x":-807,"y":1425,"z":5136}}
0.2:{"time":44046,"ypr":{"y":169.94,"p":-0.36,"r":10.04},"acceleration":{"x":-811,"y":1440,"z":5155}}
0.2:{"time":44061,"ypr":{"y":169.97,"p":-0.34,"r":10.04},"acceleration":{"x":-807,"y":1453,"z":5156}}
0.2:{"time":44076,"ypr":{"y":169.99,"p":-0.33,"r":10.04},"acceleration":{"x":-798,"y":1453,"z":5177}}
0.2:{"time":44091,"ypr":{"y":170.02,"p":-0.32,"r":10.04},"acceleration":{"x":-775,"y":1460,"z":5205}}
0.2:{"time":44106,"ypr":{"y":170.05,"p":-0.31,"r":10.04},"acceleration":{"x":-755,"y":1456,"z":5227}}
0.2:{"time":44121,"ypr":{"y":170.09,"p":-0.29,"r":10.04},"acceleration":{"x":-747,"y":1453,"z":5222}}
0.2:{"time":44136,"ypr":{"y":170.12,"p":-0.26,"r":10.05},"acceleration":{"x":-737,"y":1438,"z":5219}}
0.2:{"time":44151,"ypr":{"y":170.15,"p":-0.23,"r":10.07},"acceleration":{"x":-726,"y":1419,"z":5216}}
0.2:{"time":44166,"ypr":{"y":170.18,"p":-0.21,"r":10.08},"acceleration":{"x":-706,"y":1402,"z":5220}}
0.2:{"time":44181,"ypr":{"y":170.20,"p":-0.19,"r":10.09},"acceleration":{"x":-693,"y":1385,"z":5201}}
0.2:{"time":44196,"ypr":{"y":170.22,"p":-0.18,"r":10.09},"acceleration":{"x":-689,"y":1370,"z":5172}}
0.2:{"time":44211,"ypr":{"y":170.24,"p":-0.17,"r":10.07},"acceleration":{"x":-690,"y":1357,"z":5122}}
0.2:{"time":44226,"ypr":{"y":170.26,"p":-0.18,"r":10.05},"acceleration":{"x":-706,"y":1372,"z":5067}}
0.2:{"time":44241,"ypr":{"y":170.28,"p":-0.19,"r":10.04},"acceleration":{"x":-702,"y":1397,"z":5044}}
0.2:{"time":44256,"ypr":{"y":170.30,"p":-0.21,"r":10.03},"acceleration":{"x":-688,"y":1433,"z":5065}}
0.2:{"time":44271,"ypr":{"y":170.33,"p":-0.22,"r":10.03},"acceleration":{"x":-682,"y":1458,"z":5122}}
0.2:{"time":44286,"ypr":{"y":170.36,"p":-0.20,"r":10.05},"acceleration":{"x":-688,"y":1459,"z":5184}}
0.2:{"time":44301,"ypr":{"y":170.40,"p":-0.18,"r":10.08},"acceleration":{"x":-706,"y":1441,"z":5243}}
0.2:{"time":44316,"ypr":{"y":170.43,"p":-0.17,"r":10.09},"acceleration":{"x":-700,"y":1430,"z":5285}}
0.2:{"time":44332,"ypr":{"y":170.46,"p":-0.16,"r":10.09},"acceleration":{"x":-705,"y":1415,"z":5285}}
0.2:{"time":44346,"ypr":{"y":170.49,"p":-0.17,"r":10.08},"acceleration":{"x":-701,"y":1408,"z":5251}}
0.2:{"time":44361,"ypr":{"y":170.52,"p":-0.16,"r":10.06},"acceleration":{"x":-689,"y":1423,"z":5206}}
0.2:{"time":44377,"ypr":{"y":170.55,"p":-0.15,"r":10.05},"acceleration":{"x":-671,"y":1431,"z":5160}}
0.2:{"time":44391,"ypr":{"y":170.59,"p":-0.12,"r":10.06},"acceleration":{"x":-684,"y":1424,"z":5108}}
0.2:{"time":44406,"ypr":{"y":170.62,"p":-0.10,"r":10.08},"acceleration":{"x":-709,"y":1418,"z":5082}}
0.2:{"time":44422,"ypr":{"y":170.65,"p":-0.09,"r":10.10},"acceleration":{"x":-718,"y":1413,"z":5102}}
0.2:{"time":44436,"ypr":{"y":170.68,"p":-0.08,"r":10.10},"acceleration":{"x":-722,"y":1416,"z":5129}}
0.2:{"time":44451,"ypr":{"y":170.71,"p":-0.08,"r":10.12},"acceleration":{"x":-729,"y":1421,"z":5160}}
0.2:{"time":44467,"ypr":{"y":170.74,"p":-0.07,"r":10.12},"acceleration":{"x":-735,"y":1409,"z":5181}}
0.2:{"time":44481,"ypr":{"y":170.77,"p":-0.07,"r":10.12},"acceleration":{"x":-735,"y":1411,"z":5193}}
0.2:{"time":44496,"ypr":{"y":170.80,"p":-0.06,"r":10.12},"acceleration":{"x":-728,"y":1412,"z":5207}}
0.2:{"time":44511,"ypr":{"y":170.82,"p":-0.05,"r":10.10},"acceleration":{"x":-725,"y":1424,"z":5196}}
0.2:{"time":44526,"ypr":{"y":170.85,"p":-0.05,"r":10.09},"acceleration":{"x":-718,"y":1441,"z":5183}}
0.2:{"time":44541,"ypr":{"y":170.87,"p":-0.03,"r":10.10},"acceleration":{"x":-705,"y":1435,"z":5184}}
0.2:{"time":44556,"ypr":{"y":170.88,"p":0.00,"r":10.10},"acceleration":{"x":-733,"y":1420,"z":5162}}
0.2:{"time":44571,"ypr":{"y":170.89,"p":0.03,"r":10.10},"acceleration":{"x":-751,"y":1412,"z":5146}}
0.2:{"time":44587,"ypr":{"y":170.92,"p":0.03,"r":10.09},"acceleration":{"x":-739,"y":1420,"z":5124}}
0.2:{"time":44601,"ypr":{"y":170.94,"p":0.02,"r":10.07},"acceleration":{"x":-739,"y":1423,"z":5103}}
0.2:{"time":44616,"ypr":{"y":170.96,"p":0.03,"r":10.07},"acceleration":{"x":-741,"y":1425,"z":5092}}
0.2:{"time":44632,"ypr":{"y":170.98,"p":0.04,"r":10.08},"acceleration":{"x":-752,"y":1427,"z":5093}}
0.2:{"time":44646,"ypr":{"y":171.01,"p":0.05,"r":10.09},"acceleration":{"x":-769,"y":1435,"z":5120}}
0.2:{"time":44661,"ypr":{"y":171.03,"p":0.05,"r":10.11},"acceleration":{"x":-769,"y":1433,"z":5191}}
0.2:{"time":44677,"ypr":{"y":171.06,"p":0.07,"r":10.13},"acceleration":{"x":-732,"y":1429,"z":5274}}
0.2:{"time":44691,"ypr":{"y":171.08,"p":0.10,"r":10.14},"acceleration":{"x":-713,"y":1410,"z":5308}}
0.2:{"time":44706,"ypr":{"y":171.11,"p":0.12,"r":10.12},"acceleration":{"x":-704,"y":1391,"z":5267}}
0.2:{"time":44722,"ypr":{"y":171.13,"p":0.13,"r":10.09},"acceleration":{"x":-709,"y":1382,"z":5185}}
0.2:{"time":44736,"ypr":{"y":171.15,"p":0.12,"r":10.05},"acceleration":{"x":-717,"y":1402,"z":5105}}
0.2:{"time":44751,"ypr":{"y":171.17,"p":0.10,"r":10.03},"acceleration":{"x":-695,"y":1433,"z":5085}}
0.2:{"time":44767,"ypr":{"y":171.20,"p":0.07,"r":10.04},"acceleration":{"x":-658,"y":1451,"z":5109}}
0.2:{"time":44781,"ypr":{"y":171.23,"p":0.08,"r":10.07},"acceleration":{"x":-648,"y":1445,"z":5162}}
0.2:{"time":44796,"ypr":{"y":171.26,"p":0.11,"r":10.11},"acceleration":{"x":-645,"y":1429,"z":5232}}
0.2:{"time":44812,"ypr":{"y":171.28,"p":0.12,"r":10.13},"acceleration":{"x":-638,"y":1409,"z":5283}}
0.2:{"time":44826,"ypr":{"y":171.31,"p":0.11,"r":10.13},"acceleration":{"x":-636,"y":1399,"z":5281}}
0.2:{"time":44841,"ypr":{"y":171.34,"p":0.11,"r":10.13},"acceleration":{"x":-662,"y":1383,"z":5243}}
0.2:{"time":44857,"ypr":{"y":171.37,"p":0.10,"r":10.13},"acceleration":{"x":-664,"y":1384,"z":5197}}
0.2:{"time":44871,"ypr":{"y":171.40,"p":0.10,"r":10.13},"acceleration":{"x":-672,"y":1395,"z":5127}}
0.2:{"time":44887,"ypr":{"y":171.42,"p":0.08,"r":10.14},"acceleration":{"x":-671,"y":1419,"z":5096}}
0.2:{"time":44902,"ypr":{"y":171.45,"p":0.08,"r":10.16},"acceleration":{"x":-668,"y":1436,"z":5106}}
0.2:{"time":44916,"ypr":{"y":171.50,"p":0.07,"r":10.18},"acceleration":{"x":-673,"y":1452,"z":5134}}
0.2:{"time":44932,"ypr":{"y":171.53,"p":0.08,"r":10.21},"acceleration":{"x":-692,"y":1449,"z":5164}}
0.2:{"time":44946,"ypr":{"y":171.57,"p":0.10,"r":10.24},"acceleration":{"x":-723,"y":1432,"z":5172}}
0.2:{"time":44961,"ypr":{"y":171.61,"p":0.10,"r":10.25},"acceleration":{"x":-740,"y":1418,"z":5177}}
0.2:{"time":44977,"ypr":{"y":171.65,"p":0.11,"r":10.26},"acceleration":{"x":-766,"y":1412,"z":5172}}
0.2:{"time":44991,"ypr":{"y":171.69,"p":0.10,"r":10.26},"acceleration":{"x":-772,"y":1408,"z":5175}}
0.2:{"time":45006,"ypr":{"y":171.72,"p":0.10,"r":10.25},"acceleration":{"x":-769,"y":1422,"z":5166}}
0.2:{"time":45022,"ypr":{"y":171.76,"p":0.08,"r":10.25},"acceleration":{"x":-742,"y":1447,"z":5182}}
0.2:{"time":45036,"ypr":{"y":171.80,"p":0.08,"r":10.24},"acceleration":{"x":-719,"y":1463,"z":5188}}
0.2:{"time":45051,"ypr":{"y":171.84,"p":0.08,"r":10.24},"acceleration":{"x":-708,"y":1466,"z":5175}}
0.2:{"time":45067,"ypr":{"y":171.88,"p":0.10,"r":10.24},"acceleration":{"x":-714,"y":1466,"z":5172}}
0.2:{"time":45081,"ypr":{"y":171.91,"p":0.10,"r":10.24},"acceleration":{"x":-712,"y":1458,"z":5162}}
0.2:{"time":45096,"ypr":{"y":171.95,"p":0.10,"r":10.22},"acceleration":{"x":-693,"y":1458,"z":5150}}
0.2:{"time":45112,"ypr":{"y":171.97,"p":0.09,"r":10.21},"acceleration":{"x":-678,"y":1456,"z":5136}}
0.2:{"time":45126,"ypr":{"y":172.01,"p":0.10,"r":10.20},"acceleration":{"x":-665,"y":1458,"z":5124}}
0.2:{"time":45142,"ypr":{"y":172.04,"p":0.10,"r":10.19},"acceleration":{"x":-661,"y":1454,"z":5132}}
0.2:{"time":45157,"ypr":{"y":172.06,"p":0.11,"r":10.19},"acceleration":{"x":-657,"y":1436,"z":5142}}
0.2:{"time":45171,"ypr":{"y":172.09,"p":0.10,"r":10.18},"acceleration":{"x":-649,"y":1431,"z":5176}}
0.2:{"time":45187,"ypr":{"y":172.12,"p":0.09,"r":10.17},"acceleration":{"x":-640,"y":1431,"z":5200}}
0.2:{"time":45202,"ypr":{"y":172.14,"p":0.09,"r":10.15},"acceleration":{"x":-639,"y":1419,"z":5213}}
0.2:{"time":45216,"ypr":{"y":172.17,"p":0.08,"r":10.13},"acceleration":{"x":-653,"y":1416,"z":5188}}
0.2:{"time":45232,"ypr":{"y":172.18,"p":0.06,"r":10.11},"acceleration":{"x":-649,"y":1412,"z":5181}}
0.2:{"time":45247,"ypr":{"y":172.20,"p":0.05,"r":10.10},"acceleration":{"x":-619,"y":1423,"z":5189}}
0.2:{"time":45261,"ypr":{"y":172.23,"p":0.03,"r":10.10},"acceleration":{"x":-598,"y":1435,"z":5189}}
0.2:{"time":45277,"ypr":{"y":172.25,"p":0.03,"r":10.10},"acceleration":{"x":-608,"y":1440,"z":5179}}
0.2:{"time":45292,"ypr":{"y":172.28,"p":0.03,"r":10.11},"acceleration":{"x":-628,"y":1436,"z":5178}}
0.2:{"time":45306,"ypr":{"y":172.31,"p":0.02,"r":10.12},"acceleration":{"x":-642,"y":1421,"z":5195}}
0.2:{"time":45322,"ypr":{"y":172.34,"p":0.02,"r":10.13},"acceleration":{"x":-650,"y":1406,"z":5215}}
0.2:{"time":45337,"ypr":{"y":172.37,"p":0.01,"r":10.14},"acceleration":{"x":-677,"y":1397,"z":5211}}
0.2:{"time":45351,"ypr":{"y":172.40,"p":0.01,"r":10.15},"acceleration":{"x":-702,"y":1400,"z":5186}}
0.2:{"time":45367,"ypr":{"y":172.43,"p":0.00,"r":10.15},"acceleration":{"x":-707,"y":1413,"z":5177}}
0.2:{"time":45381,"ypr":{"y":172.46,"p":-0.01,"r":10.16},"acceleration":{"x":-694,"y":1424,"z":5198}}
0.2:{"time":45396,"ypr":{"y":172.49,"p":-0.01,"r":10.17},"acceleration":{"x":-676,"y":1420,"z":5194}}
0.2:{"time":45412,"ypr":{"y":172.54,"p":-0.01,"r":10.17},"acceleration":{"x":-671,"y":1417,"z":5170}}
0.2:{"time":45426,"ypr":{"y":172.57,"p":-0.01,"r":10.17},"acceleration":{"x":-680,"y":1423,"z":5136}}
0.2:{"time":45442,"ypr":{"y":172.61,"p":-0.02,"r":10.18},"acceleration":{"x":-697,"y":1431,"z":5117}}
0.2:{"time":45457,"ypr":{"y":172.66,"p":-0.03,"r":10.20},"acceleration":{"x":-698,"y":1437,"z":5159}}
0.2:{"time":45471,"ypr":{"y":172.70,"p":-0.02,"r":10.23},"acceleration":{"x":-675,"y":1433,"z":5217}}
0.2:{"time":45487,"ypr":{"y":172.74,"p":-0.01,"r":10.25},"acceleration":{"x":-673,"y":1413,"z":5220}}
0.2:{"time":45502,"ypr":{"y":172.78,"p":0.01,"r":10.27},"acceleration":{"x":-700,"y":1386,"z":5179}}
0.2:{"time":45516,"ypr":{"y":172.81,"p":0.02,"r":10.26},"acceleration":{"x":-711,"y":1366,"z":5109}}
0.2:{"time":45532,"ypr":{"y":172.83,"p":0.01,"r":10.25},"acceleration":{"x":-705,"y":1387,"z":5061}}
0.2:{"time":45547,"ypr":{"y":172.86,"p":-0.01,"r":10.22},"acceleration":{"x":-707,"y":1422,"z":5033}}
0.2:{"time":45561,"ypr":{"y":172.89,"p":-0.01,"r":10.22},"acceleration":{"x":-705,"y":1458,"z":5052}}
0.2:{"time":45577,"ypr":{"y":172.92,"p":-0.02,"r":10.23},"acceleration":{"x":-692,"y":1485,"z":5116}}
0.2:{"time":45592,"ypr":{"y":172.95,"p":-0.02,"r":10.25},"acceleration":{"x":-672,"y":1490,"z":5197}}
0.2:{"time":45606,"ypr":{"y":172.98,"p":-0.02,"r":10.25},"acceleration":{"x":-663,"y":1479,"z":5243}}
0.2:{"time":45622,"ypr":{"y":173.00,"p":-0.02,"r":10.24},"acceleration":{"x":-665,"y":1469,"z":5261}}
0.2:{"time":45637,"ypr":{"y":173.02,"p":-0.03,"r":10.22},"acceleration":{"x":-668,"y":1474,"z":5256}}
0.2:{"time":45651,"ypr":{"y":173.04,"p":-0.04,"r":10.20},"acceleration":{"x":-651,"y":1495,"z":5241}}
0.2:{"time":45667,"ypr":{"y":173.06,"p":-0.07,"r":10.18},"acceleration":{"x":-633,"y":1523,"z":5224}}
