5.69,"p":-0.69,"r":15.96},"acceleration":{"x":-2148,"y":-553,"z":5141}}
0.2:{"time":85116,"ypr":{"y":27.28,"p":0.58,"r":12.65},"acceleration":{"x":-1848,"y":1743,"z":7309}}
0.2:{"time":85132,"ypr":{"y":27.15,"p":4.16,"r":11.83},"acceleration":{"x":-1307,"y":-280,"z":5156}}
0.2:{"time":85146,"ypr":{"y":26.76,"p":7.44,"r":10.60},"acceleration":{"x":-69,"y":-1948,"z":2794}}
0.2:{"time":85161,"ypr":{"y":26.95,"p":9.74,"r":9.93},"acceleration":{"x":1336,"y":-2718,"z":1222}}
0.2:{"time":85177,"ypr":{"y":27.72,"p":10.79,"r":9.74},"acceleration":{"x":2402,"y":-2454,"z":150}}
0.2:{"time":85191,"ypr":{"y":28.77,"p":10.61,"r":9.58},"acceleration":{"x":2106,"y":-2280,"z":-768}}
0.2:{"time":85207,"ypr":{"y":29.73,"p":10.32,"r":10.36},"acceleration":{"x":1253,"y":-1975,"z":238}}
0.2:{"time":85222,"ypr":{"y":30.46,"p":10.94,"r":12.20},"acceleration":{"x":2348,"y":-1227,"z":3931}}
0.2:{"time":85236,"ypr":{"y":31.16,"p":11.33,"r":13.94},"acceleration":{"x":4791,"y":-1120,"z":6903}}
0.2:{"time":85252,"ypr":{"y":31.97,"p":9.50,"r":15.89},"acceleration":{"x":5775,"y":-218,"z":8605}}
0.2:{"time":85267,"ypr":{"y":31.47,"p":7.86,"r":16.32},"acceleration":{"x":8158,"y":-422,"z":9884}}
0.2:{"time":85281,"ypr":{"y":31.21,"p":5.00,"r":14.36},"acceleration":{"x":9147,"y":-2136,"z":9129}}
0.2:{"time":85297,"ypr":{"y":32.06,"p":0.26,"r":11.07},"acceleration":{"x":6354,"y":-3126,"z":5320}}
0.2:{"time":85312,"ypr":{"y":32.73,"p":-4.51,"r":7.95},"acceleration":{"x":2783,"y":-2861,"z":1860}}
0.2:{"time":85326,"ypr":{"y":33.33,"p":-8.59,"r":5.79},"acceleration":{"x":-815,"y":-2072,"z":98}}
0.2:{"time":85342,"ypr":{"y":33.66,"p":-11.08,"r":5.08},"acceleration":{"x":-2849,"y":-746,"z":-586}}
0.2:{"time":85357,"ypr":{"y":33.53,"p":-12.11,"r":4.96},"acceleration":{"x":-3452,"y":-82,"z":-1192}}
0.2:{"time":85371,"ypr":{"y":33.30,"p":-11.94,"r":5.30},"acceleration":{"x":-2903,"y":-91,"z":-1613}}
0.2:{"time":85387,"ypr":{"y":33.15,"p":-11.27,"r":6.00},"acceleration":{"x":-1869,"y":80,"z":-249}}
0.2:{"time":85402,"ypr":{"y":33.05,"p":-10.68,"r":6.92},"acceleration":{"x":-1560,"y":639,"z":3164}}
0.2:{"time":85416,"ypr":{"y":32.81,"p":-9.78,"r":8.81},"acceleration":{"x":-3194,"y":3098,"z":5929}}
0.2:{"time":85432,"ypr":{"y":32.09,"p":-5.98,"r":10.60},"acceleration":{"x":-2521,"y":4351,"z":7220}}
0.2:{"time":85447,"ypr":{"y":31.88,"p":-1.92,"r":10.31},"acceleration":{"x":-1809,"y":2324,"z":7328}}
0.2:{"time":85462,"ypr":{"y":31.62,"p":2.24,"r":9.45},"acceleration":{"x":-1913,"y":-667,"z":7141}}
0.2:{"time":85477,"ypr":{"y":30.78,"p":6.10,"r":8.64},"acceleration":{"x":-609,"y":-2632,"z":5417}}
0.2:{"time":85492,"ypr":{"y":30.15,"p":8.88,"r":8.13},"acceleration":{"x":686,"y":-3633,"z":2860}}
0.2:{"time":85507,"ypr":{"y":29.83,"p":10.60,"r":8.11},"acceleration":{"x":1688,"y":-3539,"z":1180}}
0.2:{"time":85522,"ypr":{"y":29.87,"p":11.28,"r":8.34},"acceleration":{"x":2031,"y":-3321,"z":149}}
0.2:{"time":85536,"ypr":{"y":30.03,"p":10.95,"r":9.18},"acceleration":{"x":1951,"y":-2854,"z":-780}}
0.2:{"time":85552,"ypr":{"y":30.10,"p":10.42,"r":10.28},"acceleration":{"x":1818,"y":-1825,"z":199}}
0.2:{"time":85567,"ypr":{"y":30.12,"p":10.42,"r":11.46},"acceleration":{"x":2706,"y":-1234,"z":3708}}
0.2:{"time":85581,"ypr":{"y":30.34,"p":9.82,"r":13.22},"acceleration":{"x":4588,"y":-616,"z":6470}}
0.2:{"time":85597,"ypr":{"y":30.47,"p":7.45,"r":14.53},"acceleration":{"x":6199,"y":727,"z":8276}}
0.2:{"time":85612,"ypr":{"y":30.46,"p":4.44,"r":13.83},"acceleration":{"x":6306,"y":-690,"z":8435}}
0.2:{"time":85626,"ypr":{"y":30.65,"p":0.87,"r":12.31},"acceleration":{"x":5526,"y":-2655,"z":7818}}
0.2:{"time":85642,"ypr":{"y":31.59,"p":-3.47,"r":10.03},"acceleration":{"x":2869,"y":-3840,"z":5532}}
0.2:{"time":85657,"ypr":{"y":32.74,"p":-7.49,"r":8.28},"acceleration":{"x":5,"y":-3761,"z":2820}}
0.2:{"time":85671,"ypr":{"y":33.75,"p":-10.70,"r":7.67},"acceleration":{"x":-1924,"y":-2762,"z":918}}
0.2:{"time":85687,"ypr":{"y":34.35,"p":-12.90,"r":7.84},"acceleration":{"x":-3070,"y":-1305,"z":-5}}
0.2:{"time":85702,"ypr":{"y":34.48,"p":-13.64,"r":8.55},"acceleration":{"x":-3352,"y":-56,"z":-569}}
0.2:{"time":85716,"ypr":{"y":34.35,"p":-13.12,"r":9.61},"acceleration":{"x":-2406,"y":943,"z":-47}}
0.2:{"time":85732,"ypr":{"y":34.06,"p":-12.40,"r":10.68},"acceleration":{"x":-1129,"y":1729,"z":2866}}
0.2:{"time":85747,"ypr":{"y":33.92,"p":-11.98,"r":11.78},"acceleration":{"x":-1695,"y":3415,"z":5884}}
0.2:{"time":85762,"ypr":{"y":34.08,"p":-9.73,"r":13.06},"acceleration":{"x":-2519,"y":4751,"z":7697}}
0.2:{"time":85777,"ypr":{"y":34.65,"p":-5.47,"r":13.53},"acceleration":{"x":-2085,"y":3349,"z":7833}}
0.2:{"time":85792,"ypr":{"y":35.15,"p":-1.40,"r":13.13},"acceleration":{"x":-1980,"y":693,"z":7334}}
0.2:{"time":85807,"ypr":{"y":34.99,"p":2.67,"r":12.18},"acceleration":{"x":-1177,"y":-2273,"z":5680}}
0.2:{"time":85822,"ypr":{"y":34.68,"p":5.85,"r":11.26},"acceleration":{"x":-129,"y":-4165,"z":3322}}
0.2:{"time":85837,"ypr":{"y":34.53,"p":8.03,"r":11.05},"acceleration":{"x":732,"y":-4484,"z":1372}}
0.2:{"time":85852,"ypr":{"y":34.70,"p":9.28,"r":11.34},"acceleration":{"x":1294,"y":-4139,"z":135}}
0.2:{"time":85867,"ypr":{"y":34.99,"p":9.44,"r":12.06},"acceleration":{"x":1410,"y":-3493,"z":-714}}
0.2:{"time":85882,"ypr":{"y":35.27,"p":9.09,"r":13.06},"acceleration":{"x":1209,"y":-2213,"z":101}}
0.2:{"time":85897,"ypr":{"y":35.67,"p":9.42,"r":14.43},"acceleration":{"x":1677,"y":-1623,"z":3455}}
0.2:{"time":85912,"ypr":{"y":36.26,"p":9.67,"r":16.48},"acceleration":{"x":3982,"y":-1501,"z":6541}}
0.2:{"time":85926,"ypr":{"y":36.49,"p":8.13,"r":17.73},"acceleration":{"x":6337,"y":-1431,"z":8633}}
0.2:{"time":85942,"ypr":{"y":36.37,"p":5.24,"r":17.01},"acceleration":{"x":6673,"y":-2710,"z":8818}}
0.2:{"time":85957,"ypr":{"y":36.56,"p":1.70,"r":15.28},"acceleration":{"x":5598,"y":-4169,"z":7764}}
0.2:{"time":85971,"ypr":{"y":37.21,"p":-2.66,"r":12.80},"acceleration":{"x":2598,"y":-4335,"z":5143}}
0.2:{"time":85987,"ypr":{"y":37.70,"p":-6.72,"r":10.76},"acceleration":{"x":-332,"y":-3646,"z":2521}}
0.2:{"time":86002,"ypr":{"y":37.95,"p":-9.86,"r":9.86},"acceleration":{"x":-2407,"y":-2537,"z":1000}}
0.2:{"time":86017,"ypr":{"y":37.72,"p":-11.58,"r":10.01},"acceleration":{"x":-3391,"y":-1318,"z":271}}
0.2:{"time":86032,"ypr":{"y":37.02,"p":-11.88,"r":11.00},"acceleration":{"x":-3197,"y":-313,"z":-464}}
0.2:{"time":86047,"ypr":{"y":36.20,"p":-11.49,"r":12.33},"acceleration":{"x":-2192,"y":930,"z":383}}
0.2:{"time":86062,"ypr":{"y":35.25,"p":-11.10,"r":13.31},"acceleration":{"x":-1564,"y":2094,"z":3844}}
0.2:{"time":86077,"ypr":{"y":34.59,"p":-10.56,"r":14.26},"acceleration":{"x":-3276,"y":3946,"z":6649}}
0.2:{"time":86092,"ypr":{"y":34.38,"p":-6.88,"r":15.33},"acceleration":{"x":-3941,"y":4329,"z":7693}}
0.2:{"time":86107,"ypr":{"y":34.59,"p":-1.86,"r":15.44},"acceleration":{"x":-3251,"y":2096,"z":7450}}
0.2:{"time":86122,"ypr":{"y":34.64,"p":3.02,"r":14.80},"acceleration":{"x":-2602,"y":-977,"z":6291}}
0.2:{"time":86137,"ypr":{"y":34.05,"p":7.60,"r":13.64},"acceleration":{"x":-546,"y":-3834,"z":4326}}
0.2:{"time":86152,"ypr":{"y":33.56,"p":10.58,"r":12.73},"acceleration":{"x":1105,"y":-5295,"z":2460}}
0.2:{"time":86167,"ypr":{"y":33.37,"p":11.93,"r":12.53},"acceleration":{"x":2248,"y":-5049,"z":1016}}
0.2:{"time":86182,"ypr":{"y":33.56,"p":11.87,"r":12.65},"acceleration":{"x":2363,"y":-4443,"z":-83}}
0.2:{"time":86197,"ypr":{"y":33.78,"p":10.79,"r":13.33},"acceleration":{"x":2023,"y":-3373,"z":-636}}
0.2:{"time":86212,"ypr":{"y":33.98,"p":9.71,"r":14.40},"acceleration":{"x":1386,"y":-1974,"z":1620}}
0.2:{"time":86227,"ypr":{"y":34.34,"p":9.34,"r":15.85},"acceleration":{"x":2275,"y":-1427,"z":4807}}
0.2:{"time":86242,"ypr":{"y":34.70,"p":8.12,"r":17.60},"acceleration":{"x":4343,"y":-825,"z":7364}}
0.2:{"time":86257,"ypr":{"y":34.72,"p":5.45,"r":17.77},"acceleration":{"x":5360,"y":-683,"z":8513}}
0.2:{"time":86273,"ypr":{"y":34.59,"p":2.69,"r":16.45},"acceleration":{"x":5429,"y":-2519,"z":8225}}
0.2:{"time":86287,"ypr":{"y":35.04,"p":-1.02,"r":14.13},"acceleration":{"x":3389,"y":-3759,"z":6148}}
0.2:{"time":86302,"ypr":{"y":35.50,"p":-4.76,"r":11.58},"acceleration":{"x":331,"y":-3959,"z":3649}}
0.2:{"time":86318,"ypr":{"y":35.66,"p":-7.73,"r":9.94},"acceleration":{"x":-2010,"y":-3467,"z":1527}}
0.2:{"time":86332,"ypr":{"y":35.43,"p":-9.63,"r":9.61},"acceleration":{"x":-3355,"y":-2529,"z":178}}
0.2:{"time":86347,"ypr":{"y":34.66,"p":-10.35,"r":10.40},"acceleration":{"x":-3533,"y":-1355,"z":-927}}
0.2:{"time":86362,"ypr":{"y":33.64,"p":-10.22,"r":11.72},"acceleration":{"x":-2526,"y":-83,"z":-462}}
0.2:{"time":86377,"ypr":{"y":32.52,"p":-10.06,"r":12.94},"acceleration":{"x":-1320,"y":912,"z":2983}}
0.2:{"time":86392,"ypr":{"y":31.80,"p":-10.18,"r":14.24},"acceleration":{"x":-2954,"y":2907,"z":6046}}
0.2:{"time":86407,"ypr":{"y":31.43,"p":-7.41,"r":15.69},"acceleration":{"x":-4108,"y":4049,"z":7624}}
0.2:{"time":86422,"ypr":{"y":31.32,"p":-2.97,"r":15.86},"acceleration":{"x":-3964,"y":2537,"z":7579}}
0.2:{"time":86437,"ypr":{"y":30.89,"p":1.68,"r":14.89},"acceleration":{"x":-3594,"y":-536,"z":6155}}
0.2:{"time":86452,"ypr":{"y":29.93,"p":6.42,"r":13.53},"acceleration":{"x":-1552,"y":-3693,"z":3734}}
0.2:{"time":86467,"ypr":{"y":29.11,"p":9.75,"r":12.68},"acceleration":{"x":514,"y":-5193,"z":2064}}
0.2:{"time":86482,"ypr":{"y":28.66,"p":11.42,"r":12.51},"acceleration":{"x":1937,"y":-4786,"z":416}}
0.2:{"time":86497,"ypr":{"y":28.66,"p":11.89,"r":12.67},"acceleration":{"x":2393,"y":-4086,"z":-846}}
0.2:{"time":86512,"ypr":{"y":28.65,"p":11.35,"r":13.32},"acceleration":{"x":1891,"y":-3256,"z":-895}}
0.2:{"time":86528,"ypr":{"y":28.66,"p":10.67,"r":14.50},"acceleration":{"x":1280,"y":-2428,"z":2141}}
0.2:{"time":86542,"ypr":{"y":28.90,"p":10.08,"r":16.28},"acceleration":{"x":1526,"y":-1677,"z":4945}}
0.2:{"time":86557,"ypr":{"y":29.02,"p":9.03,"r":18.68},"acceleration":{"x":2758,"y":315,"z":7480}}
0.2:{"time":86573,"ypr":{"y":28.80,"p":7.71,"r":19.55},"acceleration":{"x":4321,"y":1346,"z":9241}}
0.2:{"time":86587,"ypr":{"y":28.73,"p":5.91,"r":18.54},"acceleration":{"x":4830,"y":-76,"z":9345}}
0.2:{"time":86602,"ypr":{"y":29.34,"p":3.14,"r":16.33},"acceleration":{"x":3454,"y":-1566,"z":8062}}
0.2:{"time":86618,"ypr":{"y":30.15,"p":0.37,"r":13.88},"acceleration":{"x":1823,"y":-2310,"z":5033}}
0.2:{"time":86632,"ypr":{"y":30.77,"p":-1.92,"r":11.88},"acceleration":{"x":443,"y":-2491,"z":1995}}
0.2:{"time":86647,"ypr":{"y":31.10,"p":-4.04,"r":10.64},"acceleration":{"x":-836,"y":-2157,"z":86}}
0.2:{"time":86663,"ypr":{"y":31.14,"p":-5.91,"r":10.11},"acceleration":{"x":-1944,"y":-1509,"z":-1137}}
0.2:{"time":86677,"ypr":{"y":30.91,"p":-7.16,"r":10.14},"acceleration":{"x":-2718,"y":-851,"z":-2060}}
0.2:{"time":86692,"ypr":{"y":30.57,"p":-7.50,"r":10.38},"acceleration":{"x":-2916,"y":-568,"z":-2191}}
0.2:{"time":86708,"ypr":{"y":30.17,"p":-7.18,"r":10.93},"acceleration":{"x":-2735,"y":-802,"z":209}}
0.2:{"time":86722,"ypr":{"y":29.81,"p":-6.91,"r":12.34},"acceleration":{"x":-3253,"y":-66,"z":3450}}
0.2:{"time":86737,"ypr":{"y":29.47,"p":-5.48,"r":15.06},"acceleration":{"x":-4159,"y":2589,"z":6066}}
0.2:{"time":86753,"ypr":{"y":29.36,"p":-1.64,"r":16.67},"acceleration":{"x":-2506,"y":2807,"z":7268}}
0.2:{"time":86767,"ypr":{"y":29.68,"p":1.66,"r":16.18},"acceleration":{"x":-2499,"y":452,"z":7223}}
0.2:{"time":86782,"ypr":{"y":29.35,"p":5.42,"r":15.15},"acceleration":{"x":-1704,"y":-2927,"z":6492}}
0.2:{"time":86797,"ypr":{"y":28.71,"p":8.14,"r":14.33},"acceleration":{"x":-307,"y":-4826,"z":4451}}
0.2:{"time":86812,"ypr":{"y":28.32,"p":9.63,"r":14.08},"acceleration":{"x":543,"y":-5024,"z":2227}}
0.2:{"time":86828,"ypr":{"y":28.32,"p":10.13,"r":14.32},"acceleration":{"x":815,"y":-4345,"z":551}}
0.2:{"time":86842,"ypr":{"y":28.57,"p":9.80,"r":15.11},"acceleration":{"x":769,"y":-3372,"z":-789}}
0.2:{"time":86857,"ypr":{"y":28.84,"p":9.19,"r":16.21},"acceleration":{"x":900,"y":-1955,"z":-879}}
0.2:{"time":86873,"ypr":{"y":29.19,"p":8.93,"r":17.04},"acceleration":{"x":968,"y":-790,"z":2020}}
0.2:{"time":86887,"ypr":{"y":29.70,"p":9.32,"r":18.38},"acceleration":{"x":2555,"y":-168,"z":5483}}
0.2:{"time":86902,"ypr":{"y":29.95,"p":8.61,"r":20.18},"acceleration":{"x":5475,"y":919,"z":8582}}
0.2:{"time":86918,"ypr":{"y":30.24,"p":5.76,"r":19.52},"acceleration":{"x":5393,"y":367,"z":9055}}
0.2:{"time":86932,"ypr":{"y":30.39,"p":3.00,"r":17.89},"acceleration":{"x":4823,"y":-1837,"z":8268}}
0.2:{"time":86947,"ypr":{"y":31.10,"p":-0.56,"r":15.37},"acceleration":{"x":3235,"y":-3037,"z":5495}}
0.2:{"time":86963,"ypr":{"y":32.18,"p":-4.12,"r":12.42},"acceleration":{"x":418,"y":-3402,"z":2541}}
0.2:{"time":86977,"ypr":{"y":33.00,"p":-6.93,"r":10.50},"acceleration":{"x":-1905,"y":-3024,"z":598}}
0.2:{"time":86992,"ypr":{"y":33.27,"p":-8.76,"r":9.75},"acceleration":{"x":-3230,"y":-1967,"z":-681}}
0.2:{"time":87008,"ypr":{"y":33.06,"p":-9.45,"r":9.68},"acceleration":{"x":-3704,"y":-1134,"z":-1479}}
0.2:{"time":87022,"ypr":{"y":32.65,"p":-9.29,"r":10.30},"acceleration":{"x":-3195,"y":-936,"z":-282}}
0.2:{"time":87037,"ypr":{"y":32.09,"p":-9.29,"r":11.58},"acceleration":{"x":-2476,"y":-501,"z":3094}}
0.2:{"time":87053,"ypr":{"y":31.88,"p":-9.18,"r":13.42},"acceleration":{"x":-4407,"y":1726,"z":5886}}
0.2:{"time":87067,"ypr":{"y":31.67,"p":-5.69,"r":15.19},"acceleration":{"x":-4888,"y":2840,"z":7161}}
0.2:{"time":87083,"ypr":{"y":31.69,"p":-1.44,"r":15.64},"acceleration":{"x":-4278,"y":1715,"z":7271}}
0.2:{"time":87098,"ypr":{"y":31.42,"p":3.02,"r":14.83},"acceleration":{"x":-3799,"y":-1068,"z":5420}}
0.2:{"time":87112,"ypr":{"y":30.54,"p":7.40,"r":13.92},"acceleration":{"x":-1641,"y":-3410,"z":2921}}
0.2:{"time":87128,"ypr":{"y":29.89,"p":10.48,"r":13.33},"acceleration":{"x":396,"y":-4220,"z":1063}}
0.2:{"time":87143,"ypr":{"y":29.73,"p":12.11,"r":13.22},"acceleration":{"x":1596,"y":-3783,"z":-60}}
0.2:{"time":87157,"ypr":{"y":30.00,"p":12.63,"r":13.56},"acceleration":{"x":2043,"y":-3284,"z":-769}}
0.2:{"time":87173,"ypr":{"y":30.34,"p":12.31,"r":14.44},"acceleration":{"x":1599,"y":-2682,"z":-238}}
0.2:{"time":87188,"ypr":{"y":30.78,"p":12.15,"r":15.76},"acceleration":{"x":1489,"y":-2445,"z":3115}}
0.2:{"time":87202,"ypr":{"y":31.49,"p":11.65,"r":17.75},"acceleration":{"x":2305,"y":-2369,"z":5841}}
0.2:{"time":87218,"ypr":{"y":31.95,"p":10.01,"r":20.15},"acceleration":{"x":4100,"y":-1061,"z":8283}}
0.2:{"time":87232,"ypr":{"y":31.97,"p":7.83,"r":20.69},"acceleration":{"x":5839,"y":-1020,"z":9623}}
0.2:{"time":87247,"ypr":{"y":32.23,"p":4.82,"r":19.05},"acceleration":{"x":6102,"y":-2511,"z":8846}}
0.2:{"time":87263,"ypr":{"y":33.16,"p":0.75,"r":16.06},"acceleration":{"x":4301,"y":-3219,"z":5306}}
0.2:{"time":87277,"ypr":{"y":33.99,"p":-3.29,"r":12.98},"acceleration":{"x":1577,"y":-3285,"z":1807}}
0.2:{"time":87292,"ypr":{"y":34.46,"p":-6.75,"r":10.91},"acceleration":{"x":-1148,"y":-2702,"z":-347}}
0.2:{"time":87308,"ypr":{"y":34.49,"p":-9.07,"r":10.06},"acceleration":{"x":-2854,"y":-1819,"z":-1454}}
0.2:{"time":87322,"ypr":{"y":34.19,"p":-10.36,"r":9.98},"acceleration":{"x":-3628,"y":-1003,"z":-1848}}
0.2:{"time":87337,"ypr":{"y":33.86,"p":-10.72,"r":10.48},"acceleration":{"x":-3730,"y":-509,"z":-606}}
0.2:{"time":87353,"ypr":{"y":33.59,"p":-10.77,"r":11.85},"acceleration":{"x":-3968,"y":215,"z":3037}}
0.2:{"time":87367,"ypr":{"y":33.69,"p":-10.39,"r":14.14},"acceleration":{"x":-5924,"y":2993,"z":6199}}
0.2:{"time":87383,"ypr":{"y":33.52,"p":-6.11,"r":16.57},"acceleration":{"x":-6402,"y":4597,"z":7523}}
0.2:{"time":87398,"ypr":{"y":33.40,"p":-0.44,"r":17.27},"acceleration":{"x":-5138,"y":2704,"z":7271}}
0.2:{"time":87412,"ypr":{"y":33.11,"p":5.08,"r":16.69},"acceleration":{"x":-4217,"y":-297,"z":5084}}
0.2:{"time":87428,"ypr":{"y":32.13,"p":10.53,"r":15.97},"acceleration":{"x":-1783,"y":-2758,"z":2881}}
0.2:{"time":87443,"ypr":{"y":31.29,"p":14.52,"r":15.46},"acceleration":{"x":294,"y":-3838,"z":1197}}
0.2:{"time":87457,"ypr":{"y":30.88,"p":17.22,"r":15.54},"acceleration":{"x":1615,"y":-3874,"z":318}}
0.2:{"time":87473,"ypr":{"y":30.83,"p":18.64,"r":16.01},"acceleration":{"x":2293,"y":-3761,"z":-243}}
0.2:{"time":87488,"ypr":{"y":30.50,"p":18.60,"r":17.06},"acceleration":{"x":2098,"y":-3133,"z":-305}}
0.2:{"time":87502,"ypr":{"y":30.02,"p":18.36,"r":18.79},"acceleration":{"x":2099,"y":-1792,"z":3070}}
0.2:{"time":87518,"ypr":{"y":30.16,"p":18.32,"r":20.23},"acceleration":{"x":3362,"y":-905,"z":6900}}
0.2:{"time":87533,"ypr":{"y":29.96,"p":17.07,"r":21.41},"acceleration":{"x":6071,"y":-53,"z":10097}}
0.2:{"time":87547,"ypr":{"y":29.32,"p":13.77,"r":20.20},"acceleration":{"x":7893,"y":89,"z":10148}}
0.2:{"time":87563,"ypr":{"y":29.29,"p":9.52,"r":16.66},"acceleration":{"x":6952,"y":-1859,"z":8104}}
0.2:{"time":87578,"ypr":{"y":29.62,"p":4.31,"r":12.38},"acceleration":{"x":3287,"y":-3770,"z":4470}}
0.2:{"time":87592,"ypr":{"y":29.55,"p":-0.60,"r":8.60},"acceleration":{"x":-1167,"y":-4405,"z":1396}}
0.2:{"time":87608,"ypr":{"y":29.09,"p":-3.78,"r":6.25},"acceleration":{"x":-4713,"y":-4125,"z":-249}}
0.2:{"time":87623,"ypr":{"y":27.95,"p":-4.92,"r":5.90},"acceleration":{"x":-5895,"y":-4002,"z":-460}}
0.2:{"time":87638,"ypr":{"y":26.28,"p":-5.05,"r":7.65},"acceleration":{"x":-5120,"y":-3737,"z":1693}}
0.2:{"time":87653,"ypr":{"y":24.35,"p":-4.64,"r":10.50},"acceleration":{"x":-3376,"y":-2304,"z":4108}}
0.2:{"time":87667,"ypr":{"y":22.57,"p":-3.66,"r":13.28},"acceleration":{"x":-3375,"y":-176,"z":6023}}
0.2:{"time":87683,"ypr":{"y":21.33,"p":-1.08,"r":15.64},"acceleration":{"x":-3870,"y":2190,"z":7481}}
0.2:{"time":87698,"ypr":{"y":20.51,"p":2.30,"r":16.20},"acceleration":{"x":-4326,"y":1952,"z":7744}}
0.2:{"time":87712,"ypr":{"y":19.54,"p":6.45,"r":15.44},"acceleration":{"x":-4162,"y":-92,"z":5824}}
0.2:{"time":87728,"ypr":{"y":18.14,"p":10.65,"r":14.27},"acceleration":{"x":-2407,"y":-1545,"z":2991}}
0.2:{"time":87743,"ypr":{"y":17.20,"p":13.98,"r":13.18},"acceleration":{"x":-640,"y":-2495,"z":760}}
0.2:{"time":87757,"ypr":{"y":16.89,"p":16.37,"r":13.07},"acceleration":{"x":801,"y":-2497,"z":-505}}
0.2:{"time":87773,"ypr":{"y":17.13,"p":17.94,"r":13.67},"acceleration":{"x":1923,"y":-2057,"z":-1259}}
0.2:{"time":87788,"ypr":{"y":17.63,"p":18.62,"r":14.38},"acceleration":{"x":2677,"y":-1668,"z":-1780}}
0.2:{"time":87802,"ypr":{"y":18.08,"p":18.39,"r":14.82},"acceleration":{"x":2738,"y":-1541,"z":-991}}
0.2:{"time":87818,"ypr":{"y":18.35,"p":17.77,"r":15.63},"acceleration":{"x":2651,"y":-1335,"z":2901}}
0.2:{"time":87833,"ypr":{"y":18.81,"p":17.30,"r":17.65},"acceleration":{"x":4579,"y":-1039,"z":6746}}
0.2:{"time":87847,"ypr":{"y":19.02,"p":14.07,"r":19.55},"acceleration":{"x":5808,"y":705,"z":9124}}
0.2:{"time":87863,"ypr":{"y":18.88,"p":10.62,"r":18.25},"acceleration":{"x":6433,"y":-465,"z":9345}}
0.2:{"time":87878,"ypr":{"y":19.36,"p":6.24,"r":15.41},"acceleration":{"x":5607,"y":-2651,"z":7085}}
0.2:{"time":87892,"ypr":{"y":20.41,"p":1.17,"r":12.38},"acceleration":{"x":2408,"y":-3175,"z":3312}}
0.2:{"time":87908,"ypr":{"y":21.23,"p":-3.03,"r":9.88},"acceleration":{"x":-859,"y":-2901,"z":329}}
0.2:{"time":87923,"ypr":{"y":21.56,"p":-5.86,"r":8.44},"acceleration":{"x":-3293,"y":-2463,"z":-1081}}
0.2:{"time":87938,"ypr":{"y":21.35,"p":-7.31,"r":8.18},"acceleration":{"x":-4449,"y":-1965,"z":-1449}}
0.2:{"time":87953,"ypr":{"y":20.85,"p":-7.71,"r":9.06},"acceleration":{"x":-4129,"y":-1832,"z":-47}}
0.2:{"time":87968,"ypr":{"y":20.18,"p":-7.75,"r":10.88},"acceleration":{"x":-3310,"y":-1370,"z":3143}}
0.2:{"time":87983,"ypr":{"y":19.63,"p":-7.55,"r":13.18},"acceleration":{"x":-4946,"y":-23,"z":5599}}
0.2:{"time":87998,"ypr":{"y":19.21,"p":-4.96,"r":16.03},"acceleration":{"x":-6145,"y":2768,"z":7518}}
0.2:{"time":88013,"ypr":{"y":19.03,"p":-0.92,"r":16.99},"acceleration":{"x":-5785,"y":2965,"z":7932}}
0.2:{"time":88028,"ypr":{"y":18.81,"p":3.59,"r":16.15},"acceleration":{"x":-5181,"y":1004,"z":6031}}
0.2:{"time":88043,"ypr":{"y":18.13,"p":8.20,"r":14.79},"acceleration":{"x":-3431,"y":-759,"z":2693}}
0.2:{"time":88058,"ypr":{"y":17.78,"p":12.08,"r":13.56},"acceleration":{"x":-1444,"y":-1838,"z":454}}
0.2:{"time":88073,"ypr":{"y":18.06,"p":15.11,"r":13.01},"acceleration":{"x":196,"y":-2248,"z":-702}}
0.2:{"time":88088,"ypr":{"y":18.77,"p":17.26,"r":13.36},"acceleration":{"x":1589,"y":-2229,"z":-1482}}
0.2:{"time":88102,"ypr":{"y":19.55,"p":18.27,"r":14.01},"acceleration":{"x":2261,"y":-1938,"z":-1854}}
0.2:{"time":88118,"ypr":{"y":20.15,"p":18.52,"r":14.77},"acceleration":{"x":2100,"y":-1762,"z":75}}
0.2:{"time":88133,"ypr":{"y":20.61,"p":19.01,"r":16.12},"acceleration":{"x":2852,"y":-1669,"z":4393}}
0.2:{"time":88147,"ypr":{"y":21.34,"p":18.31,"r":18.83},"acceleration":{"x":4476,"y":-1376,"z":7794}}
0.2:{"time":88163,"ypr":{"y":21.53,"p":15.47,"r":20.12},"acceleration":{"x":5406,"y":-635,"z":9545}}
0.2:{"time":88178,"ypr":{"y":21.53,"p":12.80,"r":18.98},"acceleration":{"x":7118,"y":-2282,"z":9738}}
0.2:{"time":88193,"ypr":{"y":22.62,"p":8.07,"r":16.52},"acceleration":{"x":6051,"y":-3337,"z":5953}}
0.2:{"time":88208,"ypr":{"y":24.09,"p":2.81,"r":13.73},"acceleration":{"x":2669,"y":-2867,"z":1769}}
0.2:{"time":88223,"ypr":{"y":25.24,"p":-1.63,"r":11.41},"acceleration":{"x":-858,"y":-2218,"z":-772}}
0.2:{"time":88238,"ypr":{"y":25.88,"p":-4.73,"r":10.37},"acceleration":{"x":-3410,"y":-1404,"z":-1842}}
0.2:{"time":88253,"ypr":{"y":25.96,"p":-6.43,"r":10.19},"acceleration":{"x":-4640,"y":-1084,"z":-1993}}
